center,left,right,steering,throttle,speed,
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_28_877.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_28_877.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_28_877.jpg, -0.07089511, 1, 0, 30.18963
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_28_985.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_28_985.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_28_985.jpg, -0.09986843, 1, 0, 30.18931
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_094.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_094.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_094.jpg, -0.1129045, 1, 0, 30.18927
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_203.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_203.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_203.jpg, -0.118669, 1, 0, 30.18958
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_314.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_314.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_314.jpg, -0.118669, 1, 0, 30.18979
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_422.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_422.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_422.jpg, -0.118669, 1, 0, 30.18991
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_526.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_526.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_526.jpg, -0.1172373, 1, 0, 30.19
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_635.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_635.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_635.jpg, -0.1034854, 1, 0, 30.19032
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_743.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_743.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_743.jpg, -0.08611646, 1, 0, 30.19045
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_855.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_855.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_855.jpg, -0.05714316, 1, 0, 30.19058
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_29_964.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_29_964.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_29_964.jpg, -0.02168949, 1, 0, 30.19046
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_065.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_065.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_065.jpg, 0, 1, 0, 30.19029
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_171.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_171.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_171.jpg, 0, 1, 0, 30.19032
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_274.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_274.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_274.jpg, 0, 1, 0, 30.1903
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_383.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_383.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_383.jpg, 0, 1, 0, 30.19029
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_488.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_488.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_488.jpg, 0, 1, 0, 30.19029
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_594.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_594.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_594.jpg, -0.007221673, 1, 0, 30.1903
