center,left,right,steering,throttle,brake,speed
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_518.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_518.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_518.jpg,0,0,0,1.320326E-05
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_587.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_587.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_587.jpg,0,0,0,7.36977E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_659.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_659.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_659.jpg,0,0,0,1.031128E-05
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_726.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_726.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_726.jpg,0,0,0,1.127896E-05
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_797.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_797.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_797.jpg,0,0,0,6.263388E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_865.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_865.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_865.jpg,0,0,0,2.38768E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_55_933.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_55_933.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_55_933.jpg,0,0,0,4.823978E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_001.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_001.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_001.jpg,0,0,0,1.463007E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_072.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_072.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_072.jpg,0,0,0,4.070378E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_143.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_143.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_143.jpg,0,0,0,9.059098E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_210.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_210.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_210.jpg,0,0,0,6.341167E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_281.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_281.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_281.jpg,0,0,0,8.3316E-06
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_350.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_350.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_350.jpg,0,0,0,1.227426E-05
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_422.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_422.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_422.jpg,0,0,0,2.889031E-05
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_492.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_492.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_492.jpg,0,0,0,1.623218E-05
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_565.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_565.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_565.jpg,0,0.08391715,0,0.01359489
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_634.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_634.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_634.jpg,0,0.2680096,0,0.1704435
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_705.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_705.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_705.jpg,0,0.5089878,0,0.5476571
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_775.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_775.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_775.jpg,0,0.6886131,0,1.006905
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_842.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_842.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_842.jpg,0,0.9373993,0,1.826416
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_914.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_914.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_914.jpg,0,1,0,2.529347
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_56_982.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_56_982.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_56_982.jpg,0,1,0,3.472477
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_052.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_052.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_052.jpg,0,1,0,4.178492
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_123.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_123.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_123.jpg,-0.1,1,0,5.108979
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_195.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_195.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_195.jpg,-0.25,1,0,5.793711
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_265.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_265.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_265.jpg,-0.45,1,0,6.684712
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_336.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_336.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_336.jpg,-0.6000001,1,0,7.333961
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_403.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_403.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_403.jpg,0,1,0,8.197101
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_470.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_470.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_470.jpg,0,1,0,8.871172
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_539.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_539.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_539.jpg,0,1,0,9.766437
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_608.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_608.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_608.jpg,0,1,0,10.4335
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_677.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_677.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_677.jpg,-0.15,1,0,11.09088
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_744.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_744.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_744.jpg,-0.35,1,0,12.04006
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_813.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_813.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_813.jpg,-0.5000001,1,0,12.3965
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_883.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_883.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_883.jpg,0,1,0,13.30756
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_57_953.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_57_953.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_57_953.jpg,0,1,0,13.86918
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_024.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_024.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_024.jpg,0,1,0,14.7101
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_096.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_096.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_096.jpg,0,1,0,15.48833
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_167.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_167.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_167.jpg,-0.05,1,0,16.34872
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_237.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_237.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_237.jpg,-0.25,1,0,17.17454
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_306.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_306.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_306.jpg,-0.4,1,0,17.58854
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_373.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_373.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_373.jpg,-0.5500001,1,0,18.27375
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_442.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_442.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_442.jpg,0,1,0,19.05228
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_511.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_511.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_511.jpg,0,1,0,19.53118
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_581.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_581.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_581.jpg,0,1,0,20.35415
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_648.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_648.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_648.jpg,0,1,0,21.0455
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_719.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_719.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_719.jpg,-0.2,1,0,21.81771
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_790.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_790.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_790.jpg,-0.35,1,0,22.32296
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_859.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_859.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_859.jpg,-0.5500001,1,0,22.99241
